;book:ID;author:string[];author-bibtex:string;author-orcid:string[];booktitle:string;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];isbn:string[];isbn-type:string[];key:string;mdate:date;month:string;note:string;note-type:string;pages:string[];publisher:string;publisher-href:string;publtype:string;school:string[];series:string;series-href:string;sub:string;sup:string[];title:string;url:string;volume:string;year:int
8703;2864969;Alan Burns|Andrew J. Wellings;;;;;;;;;;;;;978-0-201-40365-7;;books/daglib/0089933;2011-04-26;;;;I-XVI, 1-611;Addison-Wesley;;;;;;;;Real-time systems and their programming languages (2. ed.).;;;1997
5889;2861791;Brian Fling;;;;;;;;;;http://www.oreilly.de/catalog/9780596155445/index.html;;;978-0-596-15544-5;;books/daglib/0023389;2011-02-09;;;;I-XIX, 1-309;O'Reilly;;;;;;;;Mobile Design and Development - Practical concepts and techniques for creating mobile sites and web apps.;;;2009
5197;2861014;J. P. Hamilton;;;;;;;;;;;;;978-1-56592-670-7;;books/daglib/0001913;2011-04-12;;;;I-XIX, 1-373;O'Reilly;;;;;;;;Visual Basic shell programming - integrating applications with the Windows shell.;;;2000
10713;2867225;Georg Erwin Thaller;;;;;;;;;;;;;978-3-528-05287-4;;books/daglib/0070766;2011-04-28;;;;I-VIII, 1-417;Vieweg;;;;Zielorientiertes Software Development;;;;Qualitätsoptimierung der Software-Entwicklung - das Capacibility Maturity Model, CMM.;;;1993
4364;2860077;Seng Wai Loke;;;;;;;;;;;;;978-0-8493-7255-1;;books/daglib/0017327;2011-02-28;;;;I-XVIII, 1-220;Auerbach Publ.;;;;;;;;Context-aware pervasive systems - architectures for a new breed of applications.;;;2007
12127;2871710;Marisa A. Abrajano|R. Michael Alvarez;;;;;;;;;;http://press.princeton.edu/titles/9158.html;;;978-0-691-14305-7;;books/daglib/0025978;2011-04-01;;;;I-XI, 1-219;Princeton University Press;;;;;;;;New Faces, New Voices - The Hispanic Electorate in America.;;;2010
554;2843635;;;;;;;;;Lipo Wang|Saman K. Halgamuge;;;;;978-3-540-26073-8;;series/sci/2005-4;2008-03-06;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Classification and Clustering for Knowledge Discovery;db/series/sci/sci4.html;4;2005
10281;2866736;Uwe Hohenstein|Volkmar Pleßer;;;;;;;;;;;;;978-3-932588-13-6;;books/daglib/0095038;2011-04-21;;;;I-XVII, 1-393;dpunkt;;;;;;;;Oracle8 - effiziente Anwendungsentwicklung mit objektrelationalen Konzepten.;;;1998
18743;2896833;;;;;;;;;Margaret A. Boden;;https://doi.org/10.1016/b978-0-12-161964-0.x5000-6;;;978-0-12-161964-0;;books/ap/96/B1996;2020-06-03;;;;;Academic Press;;;;Handbook of Perception and Cognition;;;;Artificial Intelligence;db/books/collections/B1996.html;;1996
6027;2861946;Adnan Darwiche;;;;;;;;;;http://www.cambridge.org/uk/catalogue/catalogue.asp?isbn=9780521884389;;;978-0-521-88438-9;;books/daglib/0024906;2011-02-09;;;;I-XII, 1-548;Cambridge University Press;;;;;;;;Modeling and Reasoning with Bayesian Networks.;;;2009
5157;2860970;Mikhail Gilula;;;;;;;;;;;;;978-0-201-59379-2;;books/daglib/0076746;2011-04-29;;;;I-XVI, 1-228;Addison-Wesley;;;;;;;;The set model for database and information systems.;;;1994
10566;2867059;Klaus Mainzer;;;;;;;;;;;;;978-3-540-65465-0;;books/daglib/0097316;2011-04-20;;;;I-VIII, 1-300;Springer;;;;;;;;Computernetze und virtuelle Realität - Leben in der Wissensgesellschaft.;;;1999
2617;2851916;Dragan Gamberger|Johannes Fürnkranz|Nada Lavrac;;0000-0002-1207-0159;;;;;;;;https://doi.org/10.1007/978-3-540-75197-7;;;978-3-540-75196-0;;series/cogtech/FurnkranzGL12;2017-06-14;;;;1-298;Springer;;;;Cognitive Technologies;db/series/cogtech/index.html;;;Foundations of Rule Learning;;;2012
6004;2861923;Larry Hoyle|Mari Kleemola|Martin Mechtel|Olof Olsson|Sanda Ionescu;;0000-0001-8855-5075|0000-0002-7365-0691;;;;;;;;https://doi.org/10.3886/DDIUseCases03;;;;;books/daglib/0024739;2021-10-14;;;;1-15;DDIAlliance.org;;;;DDI Use Case Literature;;;;Using DDI 3 for Comparison.;;;2010
1054;2848128;Hoang Pham;;;;;;;;;;https://doi.org/10.1142/5870;;;978-981-256-388-0|978-981-4479-99-8;;series/sqres/Pham06;2017-05-16;;;;1-508;WorldScientific;;;;Series on Quality, Reliability and Engineering Statistics;db/series/sqres/index.html;;;Reliability Modeling, Analysis and Optimization;;9;2006
15907;2881574;Bin Wang|Jun Zou|Yang Yan;;;Blockchain;;;;;;;https://doi.org/10.1142/12264;;;9789811236501|9789811236518|9789811236525;;books/ws/YanWZ21;2021-09-08;;;;1-268;WorldScientific;;;;;;;;Blockchain - Empowering Digital Economy;;;2021
6796;2862796;Bernhard Leisch|Brian Kirk|Jörg R. Mühlbacher|Ulrich Kreuzeder;;;Oberon-2 Programming with Windows;;;;;;;https://doi.org/10.1007/978-3-642-45762-3;;;978-3-540-62522-3;;books/daglib/0088401;2019-06-24;;;;;Springer;;;;;;;;Oberon-2 Programming with Windows;;;1997
14738;2879102;André Laplace;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00284144;;;;;books/hal/Laplace73;2017-09-28;;;;;;;habil;Joseph Fourier University, Grenoble, France;;;;;FORmac DEsk CALculator‎ : un outil de mise au point et d'aide au calcul formel sur ordinateur.;;;1973
7187;2863236;Masashi Sugiyama|Motoaki Kawanabe;;;;;;;;;;http://mitpress.mit.edu/books/machine-learning-non-stationary-environments;;;978-0-262-01709-1;;books/daglib/0034863;2015-03-04;;;;I-XIV, 1-261;MIT Press;;;;Adaptive computation and machine learning;;;;Machine Learning in Non-Stationary Environments - Introduction to Covariate Shift Adaptation.;;;2012
9793;2866174;David Pogue;;;;;;;;;;;;;978-0-596-00104-9;;books/daglib/0003170;2011-04-07;;;;I-XII, 1-402;O'Reilly;;;;;;;;iMovie 2 - the missing manual: the book that should have been in the box: step-by-step video editing for Macintosh.;;;2001
10943;2867489;Robert Tolksdorf;;;;;;;;;;;;;978-3-932588-58-7;;books/daglib/0000597;2011-02-02;;;;I-IX, 1-320;dpunkt.verlag;;;;;;;;Die Sprachen des Web - HTML und XHTML: Informationen aufbereiten und präsentieren im Internet (4).;;;2000
4383;2860097;Manuel Mogollon;;;;;;;;;;;;;978-1-59904-837-6;;books/daglib/0019818;2011-03-23;;;;I-XV, 1-471;Cybertech Publishing;;;;;;;;Cryptography and security services - mechanisms and applications.;;;2007
2590;2851692;Dirk Henrici;;;;;;;;;;https://doi.org/10.1007/978-3-540-79076-1;;;978-3-540-79075-4;;series/lnee/Henrici08;2017-05-16;;;;3-246;Springer;;;;Lecture Notes in Electrical Engineering;db/series/lnee/index.html;;;RFID Security and Privacy - Concepts, Protocols, and Architectures;db/series/lnee/index.html#Henrici08;17;2008
1547;2849985;William Jones 0001;;;Building a Better World with Our Information: The Future of Personal Information Management, Part 3;;;;;;;https://doi.org/10.2200/S00653ED1V01Y201506ICR042|https://www.wikidata.org/entity/Q56211840;;;;;series/synthesis/2015Jones;2018-11-14;;;;1-203;Morgan & Claypool Publishers;;;;Synthesis Lectures on Information Concepts, Retrieval, and Services;db/series/synthesis/icr.html;;;Building a Better World with Our Information: The Future of Personal Information Management, Part 3;;;2015
16804;2887224;;;;;;;;;Dunja Mladenic|John Davies|Marko Grobelnik;0000-0002-0360-6505;https://doi.org/10.1007/978-3-540-88845-1;;;978-3-540-88844-4;;books/sp/09/DGM2009;2019-09-16;;;;;Springer;;;;;;;;Semantic Knowledge Management;db/books/collections/DGM2009.html;;2009
943;2847967;Dennis Anderson|June-Suh Cho|Katja Schroeder|Robert Wu;;;;;;;;;;https://doi.org/10.1007/978-1-4939-3350-1;;;978-1-4939-3348-8|978-1-4939-3350-1;;series/sbece/AndersonWCS15;2017-05-16;;;;1-105;Springer;;;;Springer Briefs in Electrical and Computer Engineering;db/series/sbece/index.html;;;E-Government Strategy, ICT and Innovation for Citizen Engagement;;;2015
17821;2891370;;;;;;;;;Marc M. Lankhorst;;https://doi.org/10.1007/978-3-662-53933-0;;;978-3-662-53932-3;;books/sp/La2017;2018-09-06;;;;;Springer;;;;;;;;Enterprise Architecture at Work - Modelling, Communication and Analysis, Fourth Editiontion;db/books/collections/La2017.html;;2017
620;2844414;;;;Econometrics of Risk;;;;;Komsan Suriya|Songsak Sriboonchitta|Van-Nam Huynh|Vladik Kreinovich;0000-0002-9987-1425;https://doi.org/10.1007/978-3-319-13449-9;;;978-3-319-13448-2;;series/sci/2015-583;2018-11-02;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Econometrics of Risk;db/series/sci/sci583.html;583;2015
18241;2894555;Niels Houbak;;;;;;;;;;https://doi.org/10.1007/3-540-52497-5;;;3-540-52497-5;;books/sp/Houbak90;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;SIL - a Simulation Language, User's Guide;;426;1990
2036;2850474;David V. Anderson|Wayne T. Padgett;;;;;;;;;;https://doi.org/10.2200/S00220ED1V01Y200909SPR009;;;;;series/synthesis/2009Padgett;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Signal Processing;db/series/synthesis/spr.html;;;Fixed-Point Signal Processing;;;2009
9350;2865688;Rolf Klaus;;;;;;;;;;;;;978-3-7281-2477-7;;books/daglib/0000485;2011-02-02;;;;I-XIII, 1-284;vdf;;;;;;;;Der Mikrokontroller C167.;;;2000
13496;2874324;Barry Katz|Tim Brown;;;;;;;;;;https://www.worldcat.org/oclc/636396748;;;9780061766084;;books/lib/BrownK09;2020-07-17;;;;I-VIII, 1-264;Harper Collins;;;;;;;;Change by design: how design thinking can transform organizations and inspire innovation, 1st Edition.;;;2009
10137;2866563;Helen Sharp|Jenny Preece|Yvonne Rogers;;;;;;;;;;http://eu.wiley.com/WileyCDA/WileyTitle/productCd-EHEP001645.html;;;978-0-470-66576-3;;books/daglib/0029131;2012-08-23;;;;I-XV, 1-585;Wiley;;;;;;;;Interaction Design - Beyond Human-Computer Interaction, 3rd Edition.;;;2012
859;2847263;;;;Generalized Voronoi Diagram;;;;;Marina L. Gavrilova;;;;;978-3-540-85125-7;;series/sci/2008-158;2008-11-24;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Generalized Voronoi Diagram: A Geometry-Based Approach to Computational Intelligence;db/series/sci/sci158.html;158;2008
9960;2866368;Ulrich Kohlenbach;;;;;;;;;;https://doi.org/10.1007/978-3-540-77533-1;;;978-3-540-77532-4;;books/daglib/0036097;2017-05-16;;;;I-XIX, 1-532;Springer;;;;Springer Monographs in Mathematics;;;;Applied Proof Theory - Proof Interpretations and their Use in Mathematics.;;;2008
6499;2862478;Gottfried Vossen|Walter Oberschelp;;;;;;;;;;;;;978-3-486-22167-1;;books/daglib/0068902;2011-05-02;;;;I-XIV, 1-517;Oldenbourg;;;;;;;;Rechneraufbau und Rechnerstrukturen (5. Aufl.).;;;1992
11285;2867865;;;;;;;;;Alexandru Baltag|Sonja Smets;;https://doi.org/10.1007/978-3-319-06025-5;;;978-3-319-06024-8|978-3-319-06025-5;;books/daglib/0037002;2017-05-16;;;;;Springer;;;;;;;;Johan van Benthem on Logic and Information Dynamics;db/books/collections/BS2014.html;;2014
6192;2862131;Gavin Bell 0001|Rikk Carey;;;;;;;;;;;;;978-0-201-41974-0;;books/daglib/0092229;2018-03-26;;;;I-XXI, 1-500;Addison-Wesley-Longman;;;;;;;;The annotated VRML 2.0 reference manual.;;;1997
17948;2892517;;;;;;;;;André Inácio Reis|Rolf Drechsler;0000-0002-9872-1740;https://doi.org/10.1007/978-3-319-67295-3|https://www.wikidata.org/entity/Q60373863;;;978-3-319-67294-6;;books/sp/18/RD2018;2019-09-16;;;;;Springer;;;;;;;;Advanced Logic Synthesis;db/books/collections/RD2018.html;;2018
11612;2868232;Algirdas Avizienis|Ann T. Tai|John F. Meyer;;;;;;;;;;;;;978-0-7923-9670-3;;books/daglib/0084361;2019-07-19;;;;I-XI, 1-201;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Software performability - from concepts to applications.;;347;1996
12363;2871971;Ralph Altmann;;;;;;;;;;;;;978-3-89864-333-7;;books/daglib/0015809;2011-03-23;;;;1-256;dpunkt.verlag;;;;;;;;Fotobearbeitung mit Paint Shop Pro X - Anleitungen, Funktionsweisen, Tipps und Tricks.;;;2006
18011;2892934;;;;Multi-Objective Optimization;;;;;Jyotsna Kumar Mandal|Paramartha Dutta|Somnath Mukhopadhyay;;https://doi.org/10.1007/978-981-13-1471-1;;;978-981-13-1470-4|978-981-13-1471-1;;books/sp/MMD2018;2018-08-22;;;;;Springer;;;;;;;;Multi-Objective Optimization - Evolutionary to Hybrid Framework;db/books/collections/MMD2018.html;;2018
9117;2865434;Dirk Dithardt;;;;;;;;;;;;;978-3-89864-246-0;;books/daglib/0009767;2011-04-07;;;;I-XII, 1-259;dpunkt.verlag;;;;;;;;Squid - Administrationshandbuch zum Proxyserver.;;;2004
8221;2864427;Brian Valerius|Eric Hilgendorf;;;;;;;;;;https://doi.org/10.1007/978-3-642-16885-7;;;978-3-642-16884-0;;books/daglib/0030378;2017-05-16;;;;I-XXIII, 1-250;Springer;;;;;;;;Computer- und Internetstrafrecht - ein Grundriss, 2. Auflage.;;;2012
8599;2864853;Julian Ashbourn;;;;;;;;;;http://www.springer.com/computer/swe/book/978-1-85233-243-3;;;978-1-85233-243-3;;books/daglib/0007499;2011-04-15;;;;I-XVIII, 1-200;Springer;;;;;;;;Biometrics - advanced identity verification: the complete guide.;;;2002
2866;2853293;Duy H. N. Nguyen|Tho Le-Ngoc;;;;;;;;;;https://doi.org/10.1007/978-3-319-06337-9;;;978-3-319-06336-2|978-3-319-06337-9;;series/sbcs/NguyenL14;2017-05-16;;;;1-118;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Wireless Coordinated Multicell Systems - Architectures and Precoding Designs;;;2014
18189;2894441;George A. Anastassiou;;;;;;;;;;https://doi.org/10.1007/978-3-030-71481-9;;;978-3-030-71480-2;;books/sp/Anastassiou21a;2021-04-16;;;;1-522;Springer;;;;;;;;Constructive Fractional Analysis with Applications;;362;2021
11847;2871398;Marc Ewing;;;;;;;;;;;;;978-1-56592-212-9;;books/daglib/0084749;2011-04-27;;;;;O'Reilly;;;;;;;;Running Linux - companion CD-ROM.;;;1996
15270;2879634;Damien Lolive;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-01664620;;;;;books/hal/Lolive17;2018-01-10;;;;;;;habil;University of Rennes 1, France;;;;;Vers plus de contrôle pour la synthèse de parole expressive.;;;2017
15065;2879429;Pierre Marcenac;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-01485195;;;;;books/hal/Marcenac97;2017-09-28;;;;;;;habil;University of La Réunion, Saint-Denis, France;;;;;Modélisation et simulation par agents. Application aux systèmes complexes.;;;1997
1945;2850383;Stuart Sabol;;;;;;;;;;https://doi.org/10.2200/S00768ED1V01Y201704CAS001;;;;;series/synthesis/2017Sabol;2021-04-09;;;;;Morgan & Claypool Publishers;;;;Case Studies in Engineering;db/series/synthesis/cas.html;;;Engineering a Negotiating Strategy: A Case Study;;;2017
16099;2882172;James Reason;;;;;;;;;;https://doi.org/10.1017/CBO9781139062367;;;978-1-13906236-7;;books/cu/Reason90;2019-07-23;;;;1-302;Cambridge University Press;;;;;;;;Human Error;;;1990
3745;2856629;Cristian Calude;;0000-0002-8711-6799;;;;;;;;https://doi.org/10.1007/978-3-662-03049-3|https://www.wikidata.org/entity/Q57001772;;;978-3-662-03049-3|978-3-662-03051-6;;series/eatcs/Calude94;2018-11-14;;;;I-XVI, 1-243;Springer;;;;EATCS Monographs on Theoretical Computer Science;db/series/eatcs/index.html;;;Information and Randomness - An Algorithmic Perspective;;;1994
9219;2865543;Peter Dadam;;;;;;;;;;;;;978-3-540-61399-2;;books/daglib/0084669;2011-04-27;;;;I-XII, 1-415;Springer;;;;;;;;Verteilte Datenbanken und Client/Server-Systeme - Grundlagen, Konzepte und Realisierungsformen.;;;1996
832;2846978;Mohammad Shehab;;;;;;;;;;https://doi.org/10.1007/978-3-030-36083-2;;;978-3-030-36082-5;;series/sci/2020-877;2019-11-26;;;;1-157;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Artificial Intelligence in Diffusion MRI - Enhanced Cuckoo Search Algorithm with Metaheuristic Components for Extracting the Maxima of the Orientation Distribution Function;;877;2020
7606;2863724;Anil Nerode|Richard A. Shore;;;;;;;;;;https://doi.org/10.1007/978-1-4612-0649-1;;;978-0-387-94893-5|978-1-4612-0649-1|978-1-4612-6855-0;;books/daglib/0086276;2017-05-16;;;;I-XIII, 1-456;Springer;;;;Graduate Texts in Computer Science;db/series/txcs/index.html;;;Logic for Applications, Second Edition.;;;1997
18056;2893883;;;;Brain Storm Optimization Algorithms;;;;;Shi Cheng|Yuhui Shi;;https://doi.org/10.1007/978-3-030-15070-9;;;978-3-030-15069-3|978-3-030-15070-9;;books/sp/19/CS2019;2019-08-02;;;;;Springer;;;;;;;;Brain Storm Optimization Algorithms: Concepts, Principles and Applications.;db/books/collections/CS2019.html;;2019
2071;2850509;Dipanjan Chakraborty 0001|Zhixian Yan;;;Semantics in Mobile Sensing;;;;;;;https://doi.org/10.2200/S00577ED1V01Y201404WBE008;;;;;series/synthesis/2014Yan;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on the Semantic Web: Theory and Technology;db/series/synthesis/wbe.html;;;Semantics in Mobile Sensing;;;2014
8712;2864979;Wolfgang Reisig;;;;;;;;;;;;;978-3-540-52044-3;;books/daglib/0084790;2011-04-29;;;;I-XII, 1-120;Springer;;;;Springer Compass International;;;;A primer in Petri net design.;;;1992
1578;2850016;Paolo Mattavelli|Simone Buso;;0000-0002-0944-384X|0000-0002-4140-7638;Digital Control in Power Electronics;;;;;;;https://doi.org/10.2200/S00047ED1V01Y200609PEL002;;;;;series/synthesis/2006Buso;2021-10-14;;;;1-158;Morgan & Claypool Publishers;;;;Synthesis Lectures on Power Electronics;db/series/synthesis/pel.html;;;Digital Control in Power Electronics;;;2006
17985;2892890;Thomas Feller 0002;;;;;;;;;;https://d-nb.info/1054627770|https://doi.org/10.1007/978-3-658-07005-2;;;978-3-658-07004-5|978-3-658-07005-2;;books/sp/Feller14;2021-10-18;;;;1-212;Springer;;;Darmstadt University of Technology;;;;;Trustworthy Reconfigurable Systems - Enhancing the Security Capabilities of Reconfigurable Hardware Architectures;;;2014
4207;2859900;Allen H. Dutoit|Bernd Brügge;;;;;;;;;;;;;978-0-13-191179-6;;books/daglib/0017314;2011-04-14;;;;I-XXXIV, 1-762;Prentice Hall;;;;;;;;Object-oriented software engineering - using UML, patterns and Java (2. ed.).;;;2004
13931;2876751;Gottfried Vossen;;;;;;;;;;http://dbms.uni-muenster.de/publications/books/Datenmodelle_Datenbanksprachen_und_Datenbankmanagement-Systeme/;;;978-3-486-27574-2;;books/ol/Vossen2008;2019-07-10;;;;;Oldenbourg;;;;;;;;Datenmodelle, Datenbanksprachen und Datenbankmanagementsysteme, 5. Auflage;;;2008
18313;2894900;Martin Weinmann;;0000-0002-8654-7546;;;;;;;;https://doi.org/10.1007/978-3-319-29246-5;;;978-3-319-29244-1|978-3-319-29246-5;;books/sp/Weinmann16;2018-11-02;;;;1-229;Springer;;;;;;;;Reconstruction and Analysis of 3D Scenes - From Irregularly Distributed 3D Points to Object Classes;;;2016
11351;2867940;Kyoko Makino|Martin Berz|Weishi Wan;;;;;;;;;;https://www.crcpress.com/An-Introduction-to-Beam-Physics/Berz-Makino-Wan/p/book/9780750302630;;;978-0-7503-0263-0;;books/daglib/0039119;2016-11-10;;;;I-XIV, 1-310;CRC Press;;;;Series in high energy physics, cosmology, and gravitation;;;;An Introduction to Beam Physics.;;;2014
8084;2864269;Eric A. Meyer;;;;;;;;;;;;;978-1-56592-622-6;;books/daglib/0001468;2011-04-12;;;;I-XIV, 1-453;O'Reilly;;;;;;;;Cascading style sheets - the definitive guide: visual styles for HTML.;;;2000
1338;2849776;Steven F. Barrett;;;Arduino II;;;;;;;https://doi.org/10.2200/S01024ED1V01Y202006DCS059;;;;;series/synthesis/2020Barrett2;2021-04-08;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Digital Circuits and Systems;db/series/synthesis/dcs.html;;;Arduino II: Systems;;;2020
9468;2865817;Beate Meffert|Olaf Hochmuth;;;;;;;;;;http://www.pearson-studium.de/main/main.asp?page=bookdetails&ProductID=37197;;;978-3-8273-7065-5;;books/daglib/0011526;2011-04-12;;;;1-274;Pearson Studium;;;;;;;;Werkzeuge der Signalverarbeitung - Grundlagen, Anwendungsbeispiele, Übungsaufgaben.;;;2004
644;2844593;;;;Advanced Intelligent Paradigms in Computer Games;;;;;Hisashi Handa|Lakhmi C. Jain|Norio Baba;;;;;978-3-540-72704-0;;series/sci/2007-71;2008-08-26;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Advanced Intelligent Paradigms in Computer Games;db/series/sci/sci71.html;71;2007
4442;2860164;Bruce Schneier;;;;;;;;;;https://www.worldcat.org/oclc/32311687;;;0-471-12845-7|978-0-471-11709-4;;books/daglib/0078909;2020-07-17;;;;I-XXIII, 1-758;Wiley;;;;;;;;Applied cryptography - protocols, algorithms, and source code in C, 2nd Edition.;;;1996
837;2847055;;;;Adaptive and Multilevel Metaheuristics;;;;;Carlos Cotta|Kenneth Sörensen|Marc Sevaux;;;;;978-3-540-79437-0;;series/sci/2008-136;2008-08-26;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Adaptive and Multilevel Metaheuristics;db/series/sci/sci136.html;136;2008
5670;2861545;Michael Kofler;;;;;;;;;;;;;978-3-8273-2119-0;;books/daglib/0009222;2011-04-12;;;;1-1318;Addison-Wesley;;;;Linux Specials;;;;Linux - Installation, Konfiguration, Anwendung (6. Aufl.).;;;2003
10620;2867120;Steve Skidmore;;;;;;;;;;;;;978-1-85554-231-0;;books/daglib/0077666;2011-04-08;;;;I-IX, 1-196;Blackwell;;;;;;;;Introducing systems analysis.;;;1994
7012;2863037;Glenn A. Jackson;;;;;;;;;;;;;978-3-446-15572-5;;books/daglib/0068090;2011-05-03;;;;1-189;Hanser;;;;;;;;Entwurf relationaler Datenbanken - mit dBase-Anwendungsbeispielen.;;;1990
12973;2872659;João Gama 0001;;;;;;;;;;http://www.crcpress.com/product/isbn/9781439826119;;;978-1-4398-2611-9;;books/daglib/0030859;2020-11-30;;;;I-XIX, 1-237;CRC Press;;;;Chapman and Hall / CRC Data Mining and Knowledge Discovery Series;;;;Knowledge Discovery from Data Streams.;;;2010
10503;2866985;Goedart Palm;;;;;;;;;;;;;978-3-936931-17-4;;books/daglib/0010625;2019-07-15;;;;1-240;Heise;;;;Telepolis;;;;CyberMedienWirklichkeit - virtuelle Welterschließungen.;;;2004
5614;2861481;Horst Langendörfer;;;;;;;;;;;;;978-3-446-15646-3;;books/daglib/0076181;2011-05-02;;;;I-XX, 1-332;Hanser;;;;;;;;Leistungsanalyse von Rechensystemen - Messen, Modellieren, Simulation.;;;1992
12297;2871897;Sabine Schöchle;;;;;;;;;;;;;978-3-89394-104-9;;books/daglib/0095569;2011-03-25;;;;I-XXII, 1-394;Hoppenstedt & Wolff;;;;;;;;Kartengebundene Zahlungssysteme in Deutschland (4. Aufl.).;;;1993
8839;2865119;Tatjana Scheffler;;;;;;;;;;http://www.degruyter.com/view/product/186382;;;978-3-11-030214-1;;books/daglib/0037569;2016-03-04;;;;I-VII, 1-188;de Gruyter;;;;Linguistische Arbeiten;;;;Two-dimensional Semantics - Clausal Adjuncts and Complements.;;549;2013
8211;2864416;Bhavani M. Thuraisingham|Murat Kantarcioglu|Tyrone Cadenhead|Vaibhav Khadilkar;;;;;;;;;;https://www.crcpress.com/Secure-Data-Provenance-and-Inference-Control-with-Semantic-Web/Thuraisingham-Cadenhead-Kantarcioglu-Khadilkar/9781466569430;;;978-1-4665-6943-0;;books/daglib/0036463;2015-12-22;;;;I-XXX, 1-448;CRC Press;;;;;;;;Secure Data Provenance and Inference Control with Semantic Web.;;;2014
12985;2872673;Robert D. Russell|Robert M. M. Mattheij|Uri M. Ascher;;;;;;;;;;;;;978-0-89871-354-1;;books/daglib/0000893;2019-07-19;;;;I-XXV, 1-595;SIAM;;;;Classics in applied mathematics;;;;Numerical solution of boundary value problems for ordinary differential equations.;;13;1995
11994;2871563;Alfred Krüger;;;;;;;;;;;;;978-3-936931-27-3;;books/daglib/0015813;2019-07-09;;;;I-XIII, 1-206;Heise;;;;Telepolis;;;;Angriffe aus dem Netz - die neue Szene des digitalen Verbrechens.;;;2006
17242;2889696;André Platzer;;0000-0001-7238-5710;;;;;;;;https://doi.org/10.1007/978-3-319-63588-0;;;978-3-319-63587-3;;books/sp/Platzer18;2018-11-02;;;;1-639;Springer;;;;;;;;Logical Foundations of Cyber-Physical Systems;;;2018
14284;2878648;Fleur Mougin;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-02379486;;;;;books/hal/Mougin19;2019-12-20;;;;;;;habil;University of Bordeaux, France;;;;;Enjeux liés aux ressources termino-ontologiques en santé. (Issues related to termino-ontological resources in health).;;;2019
18923;2897377;John K. Ousterhout;;;;;;;;;;;;;0-201-63337-X;;books/aw/Ousterhout94;2002-01-03;;;;;Addison-Wesley;;;;;;;;Tcl and the Tk Toolkit;;;1994
8439;2864672;Christian Mehrwald;;;;;;;;;;;;;;;books/daglib/0018449;2011-03-21;;;;I-XXI, 1-828;dpunkt.verlag;;;;;;;;Datawarehousing mit SAP BW 7 - BI in SAP NetWeaver 2004s: Architektur, Konzeption, Implementierung (4. Aufl.).;;;2007
4908;2860689;Joseph P. S. Kung;;;;;;;;;;;;;978-3-7643-3173-3;;books/daglib/0073581;2011-04-14;;;;1-412;Birkhäuser;;;;;;;;A source book in matroid theory.;;;1986
9972;2866380;Felix Naumann|Ulf Leser;;;;;;;;;;;;;;;books/daglib/0017583;2011-03-21;;;;I-XIII, 1-464;dpunkt.verlag;;;;;;;;Informationsintegration - Architekturen und Methoden zur Integration verteilter und heterogener Datenquellen.;;;2007
13244;2872959;Neal Koblitz;;;;;;;;;;;;;978-3-540-94293-1;;books/daglib/0080660;2019-07-19;;;;I-X, 1-235;Springer;;;;Graduate texts in mathematics;;;;A course in number theory and cryptography, Second Edition.;;114;1994
11121;2867681;Friedrich Roithmayr|Lutz J. Heinrich;;;;;;;;;;;;;978-3-486-25943-8;;books/daglib/0016793;2011-02-08;;;;1-325;Oldenbourg;;;;;;;;Wirtschaftsinformatik-Wörterbuch - Deutsch-Englisch, Englisch-Deutsch (4. Aufl.).;;;2002
13531;2874359;Kevin P. Murphy;;;;;;;;;;;;;0262018020;;books/lib/Murphy12;2017-04-26;;;;I-XXIX, 1-1067;MIT Press;;;;Adaptive computation and machine learning series;;;;Machine learning - a probabilistic perspective.;;;2012
8308;2864523;Eiji Fujiwara|Thammavarapu R. N. Rao;;;;;;;;;;;;;978-0-13-284068-2;;books/daglib/0067174;2011-05-05;;;;I-XVI, 1-524;Prentice Hall;;;;;;;;Error-control coding for computer systems.;;;1989
3021;2853452;Anthony L. Caterini|Dong Eui Chang;;;;;;;;;;https://doi.org/10.1007/978-3-319-75304-1;;;978-3-319-75303-4;;series/sbcs/CateriniC18;2018-03-29;;;;1-82;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Deep Neural Networks in a Mathematical Framework;;;2018
