;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
31190;2843626;Ahmad Taher Azar|Djamel Boukhetala|Hemza Mekki;0000-0002-7869-6373;Advances and Applications in Sliding Mode Control Systems;;;;;series/sci/2015-576;https://doi.org/10.1007/978-3-319-11173-5_15;;;series/sci/MekkiBA15;2019-09-16;;;407-433;;;;;;Sliding Modes for Fault Tolerant Control.;db/series/sci/sci576.html#MekkiBA15;2015
8341;8988;;;Encyclopedia of Machine Learning and Data Mining;;;;;reference/ml/2017;https://doi.org/10.1007/978-1-4899-7687-1_100468;;;reference/ml/X17wt;2017-07-12;;;1233;;;encyclopedia;;;Temporal Data.;db/reference/ml/ml2017.html#X17wt;2017
59489;2889891;Jan Treur|Raj Bhalwankar;;Mental Models and Their Dynamics, Adaptation, and Control;;;;;books/sp/22/TM2022;https://doi.org/10.1007/978-3-030-85821-6_3;;;books/sp/22/BhalwankarT22;2022-02-03;;;59-79;;;;;;On Becoming a Good Driver: Modeling the Learning of a Mental Model.;db/books/collections/TM2022.html#BhalwankarT22;2022
50373;2877516;Ian Sommerville;;The Computer Science and Engineering Handbook;;;;;books/crc/tucker1997;;;;books/crc/tucker97/Sommerville97;2017-07-09;;;2259-2277;;;encyclopedia;;;Software Process Models.;db/books/collections/tucker97.html#Sommerville97;1997
31471;2843926;Alice R. Malisia;;Oppositional Concepts in Computational Intelligence;;;;;series/sci/2008-155;https://doi.org/10.1007/978-3-540-70829-2_7;;;series/sci/Malisia08;2017-05-16;;;121-142;;;;;;Improving the Exploration Ability of Ant-Based Algorithms.;db/series/sci/sci155.html#Malisia08;2008
38255;2852983;Luís F. Simões|Rita Almeida Ribeiro|Tiago C. Pais;0000-0002-3849-0151|0000-0002-9164-5626;Preferences and Decisions;;;;;series/sfsc/Greco10;https://doi.org/10.1007/978-3-642-15976-3_21;;;series/sfsc/RibeiroPS10;2017-06-09;;;353-367;;;;;;Benefits of Full-Reinforcement Operators for Spacecraft Target Landing.;db/series/sfsc/Grego10.html#RibeiroPS10;2010
13297;13955;Hans G. K. Hummel|Hendrik Drachsler|Nikos Manouselis|Riina Vuorikari|Rob Koper;;Recommender Systems Handbook;;;;;reference/rsh/2011;https://doi.org/10.1007/978-0-387-85820-3_12;;;reference/rsh/ManouselisDVHK11;2017-05-16;;;387-415;;;;;;Recommender Systems in Technology Enhanced Learning.;db/reference/rsh/rsh2011.html#ManouselisDVHK11;2011
55889;2885353;Manfred Broy;;Managing Development and Application of Digital Technologies;;;;;books/sp/06/KHB2006;https://doi.org/10.1007/3-540-34129-3_1;;;books/sp/06/Broy06;2019-08-27;;;3-15;;;;;;Innovation in Engineering Software Intensive Systems.;db/books/collections/KHB2006.html#Broy06;2006
2880;3484;Nima Mesgarani;;Encyclopedia of Computational Neuroscience;;;;;reference/cn/2014;https://doi.org/10.1007/978-1-4614-7320-6_108-1;;;reference/cn/Mesgarani14;2017-07-12;;;;;;encyclopedia;;;Stimulus Reconstruction from Cortical Responses.;db/reference/cn/cn2014.html#Mesgarani14;2014
29577;2841726;Ralf Jung 0002;;Ausgezeichnete Informatikdissertationen;;;;;series/gidiss/2020;https://dl.gi.de/20.500.12116/37900;oa;;series/gidiss/000220;2022-01-17;;;149-158;;;;;;Verständnis und Weiterentwicklung der Programmiersprache Rust.;db/series/gidiss/gidiss2020.html#000220;2020
63534;2895114;Shashi Kumar;;Networks on Chip;;;;;books/sp/03/JT2003;https://doi.org/10.1007/0-306-48727-6_5;;;books/sp/03/Kumar03;2019-07-18;;;85-106;;;;;;On Packet Switched Networks for On-Chip Communication.;db/books/collections/JT2003.html#Kumar03;2003
27547;28252;Robert H. Halstead Jr.;;Encyclopedia of Parallel Computing;;;;;reference/parallel/2011;https://doi.org/10.1007/978-0-387-09766-4_45;;;reference/parallel/Halstead11;2017-07-12;;;1216-1222;;;encyclopedia;;;Multilisp.;db/reference/parallel/parallel2011.html#Halstead11;2011
46730;2873224;Sven Naumann;;Recent Contributions to Quantitative Linguistics;;;;;books/degruyter/TBM2015;https://doi.org/10.1515/9783110420296-009;;;books/degruyter/p/Naumann15;2017-05-16;;;89-102;;;;;;Syntactic Complexity in Quantitative Linguistics.;db/books/collections/TBM2015.html#Naumann15;2015
28798;2840898;Alex Vermeulen|Margareta Hellström|Maria Johnsson;0000-0001-6650-359X|0000-0002-4154-2610|0000-0002-8158-8787;Towards Interoperable Research Infrastructures for Environmental and Earth Sciences;;;;;series/lncs/12003;https://doi.org/10.1007/978-3-030-52829-4_9;oa;;series/lncs/HellstromJV20;2020-08-12;;;162-175;;;;;;Identification and Citation of Digital Research Resources.;db/series/lncs/lncs12003.html#HellstromJV20;2020
3896;4505;Pravin Shetty|Seng Wai Loke;;Encyclopedia of Information Ethics and Security;;;;;reference/ethics/2007;http://www.igi-global.com/Bookstore/chapter.aspx?titleid=13512;;;reference/ethics/ShettyL07;2017-07-12;;;463-469;;;encyclopedia;;;Modelling Context-Aware Security for Electronic Health Records.;db/reference/ethics/ethics2007.html#ShettyL07;2007
4337;4952;Ian T. Jolliffe;;International Encyclopedia of Statistical Science;;;;;reference/stat/2011;https://doi.org/10.1007/978-3-642-04898-2_455;;;reference/stat/Jolliffe11;2017-07-12;;;1094-1096;;;encyclopedia;;;Principal Component Analysis.;db/reference/stat/stat2011.html#Jolliffe11;2011
10007;10655;;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_101518;;;reference/gis/X17xxbr;2017-07-12;;;2507;;;encyclopedia;;;Z/I Imaging.;db/reference/gis/gis2017.html#X17xxbr;2017
58802;2888839;Anders Bouwer|James McDermott|Mark Wagy|Toby Gifford;;Music and Human-Computer Interaction;;;;;books/sp/2013HWMS;https://doi.org/10.1007/978-1-4471-2990-5_2;;;books/sp/13/McDermottGBW13;2019-05-20;;;29-47;;;;;;Should Music Interaction Be Easy?;db/books/collections/HWMS2013.html#McDermottGBW13;2013
30122;2842435;Adam Wos|Krzysztof Lewandowski|Leszek Siwik|Marek Kisiel-Dorohinicki|Rafal Drezewski;0000-0001-8607-3478;Smart Information and Knowledge Management;;;;;series/sci/2010-260;https://doi.org/10.1007/978-3-642-04584-4_10;;;series/sci/SiwikLWDK10;2017-06-09;;;227-246;;;;;;UML2SQL - A Tool for Model-Driven Development of Data Access Layer.;db/series/sci/sci260.html#SiwikLWDK10;2010
4543;5158;Kyle Siegrist;;International Encyclopedia of Statistical Science;;;;;reference/stat/2011;https://doi.org/10.1007/978-3-642-04898-2_555;;;reference/stat/Siegrist11;2017-07-12;;;1477-1479;;;encyclopedia;;;Statistics and Gambling.;db/reference/stat/stat2011.html#Siegrist11;2011
6955;7597;;;Encyclopedia of Multimedia;;;;;reference/mm/2008;https://doi.org/10.1007/978-0-387-78414-4_200;;;reference/mm/X08ja;2017-07-12;;;781-782;;;encyclopedia;;;Scalar Edge Detectors.;db/reference/mm/mm2008.html#X08ja;2008
51901;2880655;Ahmed Kirmani|Andrea Colaço|Vivek K. Goyal;;Emerging Technologies for 3D Video;;;;;books/wi/13/DPC2013;https://doi.org/10.1002/9781118583593.ch2;;;books/wi/13/KirmaniCG13;2019-06-27;;;17-36;;;;;;SFTI: Space-from-Time Imaging.;db/books/collections/DPC2013.html#KirmaniCG13;2013
27094;27795;Aldo de Luca|Stefano Varricchio;;Handbook of Formal Languages (1);;;;;reference/hfl/1997-1;https://doi.org/10.1007/978-3-642-59136-5_11;;;reference/hfl/LucaV97;2019-08-06;;;747-810;;;;;;Regularity and Finiteness Conditions.;db/reference/hfl/hfl1.html#LucaV97;1997
4852;5467;Florian Mansmann|Mirco Nanni|Salvatore Rinzivillo|Slava Kisilevich;;Data Mining and Knowledge Discovery Handbook;;;;;reference/dmkdh/2010;https://doi.org/10.1007/978-0-387-09823-4_44;;;reference/dmkdh/KisilevichMNR10;2017-05-16;;;855-874;;;;;;Spatio-temporal clustering.;db/reference/dmkdh/dmkdh2010.html#KisilevichMNR10;2010
63288;2894714;Benjamin B. Bederson|Frederick G. Conrad|Michael J. Hanmer|Michael W. Traugott|Paul S. Herrnson|Richard G. Niemi;;Digital Government;;;;;books/sp/08/CBGTDHM2008;https://doi.org/10.1007/978-0-387-71611-4_9;;;books/sp/08/HerrnsonNHBCT08;2019-07-12;;;157-180;;;;;;The Current State of Electronic Voting in the United States.;db/books/collections/CBGTDHM2008.html#HerrnsonNHBCT08;2008
46628;2871364;Hiroshi Okuda|Serban Georgescu;;Software Automatic Tuning, From Concepts to State-of-the-Art Results;;;;;books/daglib/0031641;https://doi.org/10.1007/978-1-4419-6935-4_7;;;books/daglib/p/GeorgescuO10;2017-05-16;;;103-119;;;;;;Automatically Tuned Mixed-Precision Conjugate Gradient Solver.;db/books/collections/NTCS2010.html#GeorgescuO10;2010
51529;2880214;Habib Ammari|Jean-Claude Nédélec;;Mathematical Modeling in Optical Science;;;;;books/siam/01/BCM2001;https://doi.org/10.1137/1.9780898717594.ch6;;;books/siam/01/AmmariN01;2020-05-12;;;179-206;;;;;;6. Analysis of the Diffraction from Chiral Gratings.;db/books/collections/BCM2001.html#AmmariN01;2001
33453;2846129;Anis Koubaa|Khaled Al-Shalfan|Maissa Ben Jamâa|Mohamed Jmaiel|Nouha Baccour|Yasir Kayani;0000-0003-3787-7423;Cooperative Robots and Sensor Networks;;;;;series/sci/2014-507;https://doi.org/10.1007/978-3-642-39301-3_5;;;series/sci/JamaaKBKAJ14;2017-06-09;;;77-98;;;;;;EasyLoc: Plug-and-Play RSS-Based Localization in Wireless Sensor Networks.;db/series/sci/sci507.html#JamaaKBKAJ14;2014
48361;2875220;James N. Richardson|Philippe Bouillard|Rajan Filomeno Coelho|Sigrid Adriaenssens;;Shell Structures for Architecture;;;;;books/tf/14/ABVW2014;;;;books/tf/14/RichardsonACB14;2020-06-03;;;171-180;;;;;;Discrete topology optimization: connectivity for gridshells.;db/books/collections/ABVW2014.html#RichardsonACB14;2014
30334;2842668;Akihiro Fujihara|Hiroyoshi Miwa;;Internet of Things and Inter-cooperative Computational Technologies for Collective Intelligence;;;;;series/sci/2013-460;https://doi.org/10.1007/978-3-642-34952-2_9;;;series/sci/FujiharaM13;2017-05-16;;;207-231;;;;;;Homesick Lévy Walk and Optimal Forwarding Criterion of Utility-Based Routing under Sequential Encounters.;db/series/sci/sci460.html#FujiharaM13;2013
48670;2875544;Mingjun Wang|Robert H. Deng|Wenxiu Ding|Xixun Yu|Xueqin Liang|Zheng Yan 0002;;Smart Data;;;;;books/tf/19/LMYZ2019;https://doi.org/10.1201/9780429507670-4;;;books/tf/19/0002LDYWD19;2019-08-08;;;63-92;;;;;;Encrypted Big Data Deduplication in Cloud Storage.;db/books/collections/LMYZ2019.html#0002LDYWD19;2019
116;708;Burt Kaliski;;Encyclopedia of Cryptography and Security (2nd Ed.);;;;;reference/crypt/2011;https://doi.org/10.1007/978-1-4419-5906-5_404;;;reference/crypt/Kaliski11h;2017-07-12;;;434;;;encyclopedia;;;Exponential Time.;db/reference/crypt/crypt2011.html#Kaliski11h;2011
25894;26595;Alex Wun;;Encyclopedia of Database Systems (2nd ed.);;;;;reference/db/2018;https://doi.org/10.1007/978-1-4614-8265-9_1190;;;reference/db/Wun18;2019-02-14;;;;;;encyclopedia;;;AJAX.;db/reference/db/a2.html#Wun18;2018
23082;23781;Cees Snoek|Marcel Worring;;Encyclopedia of Database Systems (2nd ed.);;;;;reference/db/2018;https://doi.org/10.1007/978-1-4614-8265-9_1019;;;reference/db/WorringS18;2019-02-14;;;;;;encyclopedia;;;Visual Content Analysis.;db/reference/db/v2.html#WorringS18;2018
16559;17230;Bori Toth;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_179;;;reference/bio/Toth09;2017-07-12;;;931-938;;;encyclopedia;;;Liveness Detection: Iris.;db/reference/bio/l.html#Toth09;2009
28040;2840052;P. Jonathon Phillips|Patrick J. Flynn;;Handbook of Iris Recognition;;;;;series/acvpr/978-1-4471-4402-1;https://doi.org/10.1007/978-1-4471-4402-1_5;;;series/acvpr/PhillipsF13;2017-05-16;;;85-102;;;;;;Quality and Demographic Investigation of ICE 2006.;db/series/acvpr/iris2013.html#PhillipsF13;2013
8644;9291;;;Encyclopedia of Machine Learning and Data Mining;;;;;reference/ml/2017;https://doi.org/10.1007/978-1-4899-7687-1_100423;;;reference/ml/X17un;2017-07-12;;;1161;;;encyclopedia;;;Separate-and-Conquer Learning.;db/reference/ml/ml2017.html#X17un;2017
2956;3560;Robert J. Butera;;Encyclopedia of Computational Neuroscience;;;;;reference/cn/2014;https://doi.org/10.1007/978-1-4614-7320-6_293-1;;;reference/cn/Butera14;2017-07-12;;;;;;encyclopedia;;;Coexistence of Bursting Regimes.;db/reference/cn/cn2014.html#Butera14;2014
37815;2852466;Dinko Dimitrov;;Consensual Processes;;;;;series/sfsc/Herrera11;https://doi.org/10.1007/978-3-642-20533-0_7;;;series/sfsc/Dimitrov11;2017-05-16;;;123-134;;;;;;The Social Choice Approach to Group Identification.;db/series/sfsc/Herrera11.html#Dimitrov11;2011
61899;2893068;Amin Jourabloo|Joel Stehouwer|Xiaoming Liu 0002|Yaojie Liu|Yousef Atoum;;Selfie Biometrics;;;;;books/sp/19/RDS2019;https://doi.org/10.1007/978-3-030-26972-2_8;;;books/sp/19/LiuSJA019;2019-09-24;;;171-196;;;;;;Presentation Attack Detection for Face in Mobile Phones.;db/books/collections/RDS2019.html#LiuSJA019;2019
35920;2848989;Laura M. Leventhal|Sarah Horton;0000-0001-6544-1833;Web Accessibility;;;;;series/hci/HarperY08;https://doi.org/10.1007/978-1-84800-050-6_21;;;series/hci/HortonL08;2021-10-14;;;346-355;;;;;;Universal Usability.;db/series/hci/HarperY08.html#HortonL08;2008
48292;2875148;Sean Ahern;;High Performance Visualization;;;;;books/tf/12/BCH2012;https://doi.org/10.1201/b12985-19;;;books/tf/12/Ahern12;2019-08-12;;;;;;;;;The Path to Exascale.;db/books/collections/BCH2012.html#Ahern12;2012
24564;25263;Susan T. Dumais;;Encyclopedia of Database Systems (2nd ed.);;;;;reference/db/2018;https://doi.org/10.1007/978-1-4614-8265-9_159;;;reference/db/Dumais18;2019-02-14;;;;;;encyclopedia;;;Faceted Search.;db/reference/db/f2.html#Dumais18;2018
43899;2868626;Peter Pin-Shan Chen;;Handbook of Conceptual Modeling;;;;;books/daglib/0026654;https://doi.org/10.1007/978-3-642-15865-0_3;;;books/daglib/p/Chen11a;2017-05-16;;;57-84;;;;;;The Entity-Relationship Model (Reprinted Historic Data).;db/books/collections/ET2011.html#Chen11a;2011
65743;2897928;Airi Salminen|Pasi Tiitinen|Virpi Lyytikäinen;;Encyclopedia of Information Science and Technology (I);;;;;books/idea/Ency05;http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14300;;;books/idea/encyclopedia2005/LyytikainenTS05;2017-07-09;;;573-576;;;encyclopedia;;;Contextual Metadata for Document Databases.;db/books/collections/encyclopedia2005.html#LyytikainenTS05;2005
43198;2859267;Ahmet Aker|Elena Lloret|Laura Plaza|Robert J. Gaizauskas;0000-0002-2926-294X|0000-0002-3356-5126;Multi-source, Multilingual Information Extraction and Summarization;;;;;series/tanlp/2013extract;https://doi.org/10.1007/978-3-642-28569-1_14|https://www.wikidata.org/entity/Q57727066;;;series/tanlp/AkerPLG13;2018-11-14;;;299-320;;;;;;Multi-Document Summarization Techniques for Generating Image Descriptions: A Comparative Analysis.;db/series/tanlp/extract2013.html#AkerPLG13;2013
32731;2845332;Amel Borgi|Khaled Ghédira|Saoussen Bel Hadj Kacem;0000-0001-9772-4969;Computer and Information Science;;;;;series/sci/2008-131;https://doi.org/10.1007/978-3-540-79187-4_18;;;series/sci/BorgiKG08;2017-06-14;;;203-217;;;;;;Approximate Reasoning in a Symbolic Multi-valued Framework.;db/series/sci/sci131.html#BorgiKG08;2008
13692;14351;;;Computer Vision, A Reference Guide;;;;;;https://doi.org/10.1007/978-0-387-31439-6_100050;;;reference/vision/X14ga;2017-07-12;;;590;;;encyclopedia;;;Performance Capture.;db/reference/vision/vision2014.html#X14ga;2014
56419;2886041;Darrell Stock|Fred J. Maryanski|Joan Peckham|John R. Bedell|LouAnne McDonald|Sheilah Hoelscher|Shuguang Hong;;On Object-Oriented Database System;;;;;books/sp/DittrichDB91;;;;books/sp/dittrichDB91/MaryanskiBHHMPS91;2019-08-03;;;291-314;;;;;;Generating Object-Oriented Database Systems with the Data Model Compiler.;db/books/collections/dittrichDB91.html#MaryanskiBHHMPS91;1991
59748;2890236;Gemma Galdon Clavell|Victoria Peuvrelle;;Big Data Analytics for Time-Critical Mobility Forecasting;;;;;books/sp/20/VADP2020;https://doi.org/10.1007/978-3-030-45164-6_12;;;books/sp/20/ClavellP20;2020-06-30;;;343-358;;;;;;Ethical Issues in Big Data Analytics for Time Critical Mobility Forecasting.;db/books/collections/VADP2020.html#ClavellP20;2020
52858;2881933;K. Narayan Kumar;;Modern Applications of Automata Theory;;;;;books/ws/automata12;https://doi.org/10.1142/9789814271059_0010;;;books/ws/automata2012/Kumar12;2019-08-03;;;289-324;;;;;;The Theory of Message Sequence Charts.;db/books/collections/automata2012.html#Kumar12;2012
53423;2882724;Betty Salzberg|David B. Lomet;;Temporal Databases;;;;;books/bc/tanselCGSS93/TCGSS1993;;;;books/bc/tanselCGSS93/LometS93;2019-08-07;;;388-417;;;;;;Transaction-Time Databases.;db/books/collections/tansel93.html#LometS93;1993
5767;6397;William Hugh Murray;;Information Security Management Handbook, 6th ed.;;;;;reference/crc/2007ismh;https://doi.org/10.1201/9781439833032.ch112;;;reference/crc/Murray07b;2017-07-12;;;1501-1509;;;encyclopedia;;;Common System Design Flaws and Security Issues.;db/reference/crc/ismh2007.html#Murray07b;2007
25014;25714;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_3092;;;reference/db/X09xju;2017-07-12;;;1776;;;encyclopedia;;;Multidatabases.;db/reference/db/m.html#X09xju;2009
24231;24930;Vassilis Plachouras;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_937;;;reference/db/Plachouras09d;2017-07-12;;;3036;;;encyclopedia;;;Term Proximity.;db/reference/db/t.html#Plachouras09d;2009
47619;2874159;Céline Clavel|Jean-Claude Martin|Matthieu Courgeon|Mehdi Ammi|Michel-Ange Amorim|Mohamed Yacine Tsalamlal|Yoren Gaffary;;The Handbook of Multimodal-Multisensor Interfaces, Volume 2 (2);;;;;books/acm/18/OSCSPK2018;https://doi.org/10.1145/3107990.3108001;;;books/acm/18/MartinCCAATG18;2020-12-16;;;263-285;;;;;;How do users perceive multimodal expressions of affects?;db/books/collections/OSCSPK2018.html#MartinCCAATG18;2018
28244;2840286;Adrian Weller;0000-0003-1915-7158;Explainable AI;;;;;series/lncs/11700;https://doi.org/10.1007/978-3-030-28954-6_2|https://www.wikidata.org/entity/Q102633391;;;series/lncs/Weller19;2020-12-25;;;23-40;;;;;;Transparency: Motivations and Challenges.;db/series/lncs/lncs11700.html#Weller19;2019
15903;16572;;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_494;;;reference/bio/X09xcq;2017-07-12;;;1111;;;encyclopedia;;;Reflection-Based Touchless Finger Imaging (RTFI).;db/reference/bio/r.html#X09xcq;2009
47063;2873570;Jianwen Su|Kamal Bhattacharya|Richard Hull 0001;;Handbook of Research on Business Process Modeling;;;;;books/igi/09/CA2009;https://doi.org/10.4018/978-1-60566-288-6.ch023;;;books/igi/09/Bhattacharya0S09;2019-06-27;;;503-531;;;;;;A Data-Centric Design Methodology for Business Processes.;db/books/collections/CA2009.html#Bhattacharya0S09;2009
57432;2887333;Manuele Bicego|Pavan K. Turaga|Rama Chellappa;;Handbook of Remote Biometrics;;;;;books/sp/09/TLC2009;https://doi.org/10.1007/978-1-84882-385-3_8;;;books/sp/09/ChellappaBT09;2019-07-03;;;193-216;;;;;;Video-Based Face Recognition Algorithms.;db/books/collections/TLC2009.html#ChellappaBT09;2009
35505;2848528;Dan Conway|Fang Chen 0001|Jianlong Zhou|Kun Yu|Ronnie Taib|Shlomo Berkovsky;0000-0001-6034-644X|0000-0001-7535-5875|0000-0003-2638-4121;Human and Machine Learning;;;;;series/hci/ZhouC18;https://doi.org/10.1007/978-3-319-90403-0_12;;;series/hci/YuBCTZC18;2020-10-26;;;245-264;;;;;;Do I Trust a Machine? Differences in User Trust Based on System Performance.;db/series/hci/ZhouC18.html#YuBCTZC18;2018
14761;15428;Chengxian Xu;;Encyclopedia of Optimization;;;;;reference/opt/2009;https://doi.org/10.1007/978-0-387-74759-0_214;;;reference/opt/Xu09;2017-07-12;;;1233-1238;;;encyclopedia;;;Generalized Total Least Squares.;db/reference/opt/opt2009.html#Xu09;2009
12506;13157;;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_101019;;;reference/gis/X17xkb;2017-07-12;;;1678;;;encyclopedia;;;Provable Properties.;db/reference/gis/gis2017.html#X17xkb;2017
26303;27004;Ji-Rong Wen|Ruihua Song|Zhicheng Dou;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_267;;;reference/db/WenDS09;2017-07-12;;;2099-2103;;;encyclopedia;;;Personalized Web Search.;db/reference/db/p.html#WenDS09;2009
66822;7584690;Bernhard Rumpe;;Object Modeling with the OCL;;;;;conf/ocl/2002;https://doi.org/10.1007/3-540-45669-4_10;;;conf/ocl/Rumpe02;2022-02-23;;;189-212;;;;;;<<Java>>OCL Based on New Presentation of the OCL-Syntax.;db/conf/ocl/ocl2002.html#Rumpe02;2002
37064;2851488;Duminda Wijesekera|Lingyu Wang 0001|Sushil Jajodia;;Secure Data Management in Decentralized Systems;;;;;series/ais/33;https://doi.org/10.1007/978-0-387-27696-0_11;;;series/ais/WangJW07;2017-05-16;;;355-380;;;;;;Preserving Privacy in On-line Analytical Processing Data Cubes.;db/series/ais/ais33.html#WangJW07;2007
44424;2869153;Eric Dubois 0001|Nicolas Mayer|Patrick Heymans|Raimundas Matulevicius;0000-0002-1829-4794|0000-0002-6021-3660|0000-0003-1253-5283;Intentional Perspectives on Information Systems Engineering;;;;;books/daglib/0025394;https://doi.org/10.1007/978-3-642-12544-7_16;;;books/daglib/p/0001HMM10;2021-10-14;;;289-306;;;;;;A Systematic Approach to Define the Domain of Information System Security Risk Management.;db/books/collections/NSSR2010.html#0001HMM10;2010
45701;2870433;Alex Dekhtyar|Alexander Egyed|Andrea Zisman|Giuliano Antoniol|Jane Cleland-Huang|Jane Huffman Hayes|Jonathan I. Maletic|Orlena Gotel|Patrick Mäder|Paul Grünbacher;0000-0002-1951-5288;Software and Systems Traceability;;;;;books/daglib/0028967;https://doi.org/10.1007/978-1-4471-2239-5_1|https://www.wikidata.org/entity/Q55891528;;;books/daglib/p/GotelCHZEGDAMM12;2020-10-25;;;3-22;;;;;;Traceability Fundamentals.;db/books/daglib/0028967.html#GotelCHZEGDAMM12;2012
59252;2889517;Amir Beck|Marc Teboulle;;Fixed-Point Algorithms for Inverse Problems in Science and Engineering;;;;;books/sp/11/BBCE2011;https://doi.org/10.1007/978-1-4419-9569-8_3;;;books/sp/11/BeckT11;2019-08-14;;;33-48;;;;;;A Linearly Convergent Algorithm for Solving a Class of Nonconvex/Affine Feasibility Problems.;db/books/collections/BBCE2011.html#BeckT11;2011
58876;2888917;Alain Trouvé|Anne Jorstad|David Jacobs;;Shape Perception in Human and Computer Vision;;;;;books/sp/13/DP2013;https://doi.org/10.1007/978-1-4471-5195-1_9;;;books/sp/13/JacobsJT13;2019-08-14;;;133-144;;;;;;Deformations and Lighting.;db/books/collections/DP2013.html#JacobsJT13;2013
45274;2870004;Shengquan Yu|Xianmin Yang;;Seamless Learning in the Age of Mobile Connectivity;;;;;books/daglib/0040398;https://doi.org/10.1007/978-981-287-113-8_8;;;books/daglib/p/YuY16;2017-05-16;;;141-158;;;;;;A Resource Organization Model for Ubiquitous Learning in a Seamless Learning Space.;db/books/collections/WMS2015.html#YuY16;2016
53375;2882629;Alexander G. Melnikov|Ekaterina B. Fokina|Valentina S. Harizanov;0000-0001-8781-7432;Turing's Legacy;;;;;books/cu/D2014;https://doi.org/10.1017/CBO9781107338579.006;;;books/cu/p/FokinaHM14;2020-10-25;;;124-194;;;;;;Computable model theory.;db/books/collections/D2014.html#FokinaHM14;2014
38876;2854093;Al-Sakib Khan Pathan|Choong Seon Hong;0000-0001-6572-3451;Guide to Wireless Ad Hoc Networks;;;;;series/ccn/MWM2009;https://doi.org/10.1007/978-1-84800-328-6_4;;;series/ccn/PathanH09;2022-01-03;;;59-96;;;;;;Routing in Mobile Ad Hoc Networks.;db/series/ccn/MWM2009.html#PathanH09;2009
61234;2892318;Janis Grabis|Janis Kampars;;Capability Management in Digital Enterprises;;;;;books/sp/SS2018;https://doi.org/10.1007/978-3-319-90424-5_10;;;books/sp/18/GrabisK18a;2018-08-22;;;175-188;;;;;;Capability Management in the Cloud.;db/books/collections/SS2018.html#GrabisK18a;2018
40681;2856313;Robert Burduk;;Computer Recognition Systems 2;;;;;series/asc/2008-45;https://doi.org/10.1007/978-3-540-75175-5_46;;;series/asc/Burduk08;2017-05-16;;;364-370;;;;;;Classification Accuracy in Local Optimal Strategy of Multistage Recognition with Fuzzy Data.;db/series/asc/asc45.html#Burduk08;2008
63110;2894431;Carlos M. P. Matos|Reiko Heckel;;Results of the SENSORIA Project;;;;;books/sp/sensoria11;https://doi.org/10.1007/978-3-642-20401-2_29;;;books/sp/sensoria2011/MatosH11;2017-05-16;;;604-621;;;;;;Legacy Transformations for Extracting Service Components.;db/books/collections/sensoria2011.html#MatosH11;2011
23046;23745;Stefano Rizzi;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_466;;;reference/db/Rizzi09a;2017-07-12;;;3525-3529;;;encyclopedia;;;What-If Analysis.;db/reference/db/w.html#Rizzi09a;2009
34908;2847727;David C. Wilson|Dympna O'Sullivan;0000-0003-2841-9738;Case-Based Reasoning on Images and Signals;;;;;series/sci/2008-73;https://doi.org/10.1007/978-3-540-73180-1_13;;;series/sci/WilsonO08;2019-10-19;;;389-418;;;;;;Medical Imagery in Case-Based Reasoning.;db/series/sci/sci73.html#WilsonO08;2008
55303;2884743;Detlef Gerhard;0000-0002-3266-7526;Multi-Disciplinary Engineering for Cyber-Physical Production Systems;;;;;books/sp/BLG2017;https://doi.org/10.1007/978-3-319-56345-9_4;;;books/sp/17/Gerhard17;2019-09-25;;;89-110;;;;;;Product Lifecycle Management Challenges of CPPS.;db/books/collections/BLG2017.html#Gerhard17;2017
36559;2850871;Jean-Claude Régnier|Régis Gras;;Analyse Statistique Implicative;;;;;series/rnti/E16;http://editions-rnti.fr/?inprocid=1000836;;;series/rnti/GrasR09;2014-05-01;;;17-130;;;;;;Fondements théoriques de l'analyse statistique implicative.;db/series/rnti/rnti-E16.html#GrasR09;2009
9788;10436;;;Encyclopedia of GIS;;;;;reference/gis/2008;https://doi.org/10.1007/978-0-387-35973-1_1288;;;reference/gis/X08xna;2017-07-12;;;1102;;;encyclopedia;;;Spatial Objects.;db/reference/gis/gis2008.html#X08xna;2008
